AppId,ResidencyProgram,Specialty,Specialties,Speciality,PracticeLoc,County,State,GradYear,TotalNumberGraduates201617,AutoScoreGraduates,FinalScoreGraduates
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"757 Westwood Plaza, Los Angeles, CA, 90095",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"426 22nd Ave E, Springfield, TN, 37172",Out of State,Tennessee,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"3210 Merryfield Row, San Diego, CA 92121",San Diego,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,Yes,"11333 SEPULVEDA BLVD MISSION HILLS,CA 91345",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"1000 Welch Road, Suite 300, Palo Alto, CA 94304",Santa Clara,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"757 WESTWOOD PLZ B711 RRUMC LOS ANGELES, CA 90095",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"1200 North State Street, Los Angeles, CA 90033",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,Yes,"12746 W. Jefferson Blvd. Suite 4000. Playa Vista, CA 90094",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"4867 Sunset Blvd, Los Angeles, CA 90027",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"757 Westwood Plaza, Los Angeles, CA, 90095",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"11234 Anderson St., Loma Linda, CA 92354",San Bernardino,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"4650 Sunset Blvd, Los Angeles, CA",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"1000 W Carson St, Torrance, CA 90502",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,Yes,"4733 Sunset Blvd 3rd Fl, Los Angeles, CA",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"3401 Civic Center Blvd, Philadelphia, PA",Out of State,Pennsylvania,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"8700 Beverly Blvd, Los Angeles, CA 90048",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,Yes,"4650 Sunset Blvd 113, Los Angeles, CA",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,Yes,"1255 W Arrow Hwy, San Dimas, CA",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,Yes,"25825 S Vermont Ave, Harbor City, CA 90710",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"1524 Pinto Ln 3rd Fl, Las Vegas, NV",Out of State,Nevada,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"3333 Burnet Ave, Cincinnati, OH",Out of State,Ohio,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"6701 Fannin Street, Houston, TX 77030",Out of State,Texas,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,Yes,"4610 X St, Sacramento, CA",Sacramento,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"11234 Anderson St, Loma Linda, CA 92354",San Bernardino,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,Yes,"12746 W Jefferson Blvd #4000, Los Angeles, CA",Los Angeles,California,2016-17,26,8,8
58,UCLA David Geffen School of Medicine/UCLA MEDCEN PEDS ,Pediatrics,Pediatrics,No,"757 Westwood Plaza, Los Angeles, CA, 90095",Los Angeles,California,2016-17,26,8,8
